observability,n_seeds,actual_epochs_mean,excess_loss_mean,belief_kl_mean,belief_r2_mean,history4_belief_kl_mean,untrained_belief_kl_mean,transition_kl_mean,shuffled_transition_kl_mean,random_transition_kl_mean,order1_gain_mean,same_scrub_kl_mean,different_scrub_kl_mean,scrub_gap_mean,sae_transition_kl_mean
easy,5,22.4,0.019804879485068615,0.029076665787428756,0.9250543611664688,0.027222260288510113,0.031926096715662086,0.11428208955054797,0.378665574042795,0.3586761484364777,0.1342307692307692,0.00872919736430049,0.2356191396713257,0.2268899440765381,0.11664197076616913
medium,5,16.2,0.019784329124840516,0.024639620573005065,0.848973830076858,0.011444773391025984,0.024699177380088397,0.2214451652261919,0.35462831134196815,0.3586761484364777,0.04317307692307694,0.007308325916528702,0.07949512004852295,0.07218679264187813,0.2583904691376684
hard,5,10.4,0.019008503967507417,0.002942382450872494,0.7773455762654558,0.0004012252718675975,0.0029335209798127503,0.3598899449630268,0.36686447158226243,0.3586761484364777,-0.0005769230769230749,0.000986618921160698,0.003018536837771535,0.002031917916610837,0.41596291480974196
